Month,LocationID,ItemID,BeginningOnHand,PurchasedQty,SoldQty,AdjustmentsQty
2018-09-01,L01,2,25,0,5,0
2018-10-01,L01,2,20,0,1,0
2018-11-01,L01,2,19,0,1,-4
2018-12-01,L01,2,14,0,1,0
2019-01-01,L01,2,13,55,5,1
2019-02-01,L01,2,64,0,1,0
2019-03-01,L01,2,63,0,1,0
2019-04-01,L01,2,62,0,4,0
2019-05-01,L01,2,58,0,4,-4
2019-06-01,L01,2,50,0,5,0
2019-07-01,L01,2,45,0,3,0
2019-08-01,L01,2,42,0,3,0
2019-09-01,L01,2,39,0,5,0
2019-10-01,L01,2,34,0,2,0
2019-11-01,L01,2,32,0,1,0
2019-12-01,L01,2,31,0,3,0
2020-01-01,L01,2,28,0,1,0
2020-02-01,L01,2,27,0,2,0
2020-03-01,L01,2,25,0,2,-3
2020-04-01,L01,2,20,0,3,0
2020-05-01,L01,2,17,0,4,0
2020-06-01,L01,2,13,55,4,-4
2020-07-01,L01,2,60,0,7,0
2020-08-01,L01,2,53,0,8,0
2020-09-01,L01,2,45,0,3,0
2020-10-01,L01,2,42,0,5,0
2020-11-01,L01,2,37,0,3,0
2020-12-01,L01,2,34,0,8,0
2021-01-01,L01,2,26,0,3,0
2021-02-01,L01,2,23,0,2,2
2021-03-01,L01,2,23,0,3,0
2021-04-01,L01,2,20,0,9,0
2021-05-01,L01,2,11,57,7,0
2021-06-01,L01,2,61,0,8,0
2021-07-01,L01,2,53,0,8,0
2021-08-01,L01,2,45,0,4,0
2021-09-01,L01,2,41,0,1,0
2021-10-01,L01,2,40,0,3,-5
2021-11-01,L01,2,32,0,3,-1
2021-12-01,L01,2,28,0,0,0
2022-01-01,L01,2,28,0,1,0
2022-02-01,L01,2,27,0,2,-2
2022-03-01,L01,2,23,0,6,0
2022-04-01,L01,2,17,0,6,0
2022-05-01,L01,2,11,57,6,0
2022-06-01,L01,2,62,0,8,0
2022-07-01,L01,2,54,0,3,0
2022-08-01,L01,2,51,0,4,0
2022-09-01,L01,2,47,0,7,0
2022-10-01,L01,2,40,0,1,0
2022-11-01,L01,2,39,0,5,0
2022-12-01,L01,2,34,0,0,0
2023-01-01,L01,2,34,0,3,0
2023-02-01,L01,2,31,0,4,0
2023-03-01,L01,2,27,0,1,0
2023-04-01,L01,2,26,0,1,0
2023-05-01,L01,2,25,0,2,0
2023-06-01,L01,2,23,0,0,0
2023-07-01,L01,2,23,0,2,0
2023-08-01,L01,2,21,0,2,0
2023-09-01,L01,2,19,0,2,-5
2023-10-01,L01,2,12,56,4,-2
2023-11-01,L01,2,62,0,0,0
2023-12-01,L01,2,62,0,0,0
2024-01-01,L01,2,62,0,3,0
2024-02-01,L01,2,59,0,1,0
2024-03-01,L01,2,58,0,5,0
2024-04-01,L01,2,53,0,1,0
2024-05-01,L01,2,52,0,3,0
2024-06-01,L01,2,49,0,0,0
2024-07-01,L01,2,49,0,2,0
2024-08-01,L01,2,47,0,1,0
2024-09-01,L01,2,46,0,2,0
2024-10-01,L01,2,44,0,1,0
2024-11-01,L01,2,43,0,0,0
2024-12-01,L01,2,43,0,2,0
2025-01-01,L01,2,41,0,3,0
2025-02-01,L01,2,38,0,3,0
2025-03-01,L01,2,35,0,3,0
2025-04-01,L01,2,32,0,2,0
2025-05-01,L01,2,30,0,2,0
2025-06-01,L01,2,28,0,0,0
2025-07-01,L01,2,28,0,0,-4
2025-08-01,L01,2,24,0,0,0
2025-09-01,L01,2,24,0,2,0
2025-10-01,L01,2,22,0,1,0
2025-11-01,L01,2,21,0,1,0
2025-12-01,L01,2,20,0,3,0
2017-01-01,L01,3,83,0,1,0
2017-02-01,L01,3,82,0,2,0
2017-03-01,L01,3,80,0,2,0
2017-04-01,L01,3,78,0,4,0
2017-05-01,L01,3,74,0,8,0
2017-06-01,L01,3,66,0,3,0
2017-07-01,L01,3,63,0,2,0
2017-08-01,L01,3,61,0,3,0
2017-09-01,L01,3,58,0,1,0
2017-10-01,L01,3,57,0,0,0
2017-11-01,L01,3,57,0,2,0
2017-12-01,L01,3,55,0,2,0
2018-01-01,L01,3,53,0,5,0
2018-02-01,L01,3,48,0,0,0
2018-03-01,L01,3,48,0,5,0
2018-04-01,L01,3,43,0,6,0
2018-05-01,L01,3,37,0,2,0
2018-06-01,L01,3,35,0,7,0
2018-07-01,L01,3,28,0,6,0
2018-08-01,L01,3,22,0,7,0
2018-09-01,L01,3,15,68,5,-3
2018-10-01,L01,3,75,0,0,0
2018-11-01,L01,3,75,0,1,0
2018-12-01,L01,3,74,0,3,0
2019-01-01,L01,3,71,0,2,0
2019-02-01,L01,3,69,0,5,0
2019-03-01,L01,3,64,0,3,0
2019-04-01,L01,3,61,0,3,0
2019-05-01,L01,3,58,0,3,0
2019-06-01,L01,3,55,0,2,0
2019-07-01,L01,3,53,0,3,0
2019-08-01,L01,3,50,0,6,0
2019-09-01,L01,3,44,0,3,0
2019-10-01,L01,3,41,0,11,0
2019-11-01,L01,3,30,0,3,0
2019-12-01,L01,3,27,0,2,0
2020-01-01,L01,3,25,0,2,0
2020-02-01,L01,3,23,0,2,0
2020-03-01,L01,3,21,0,4,0
2020-04-01,L01,3,17,0,5,-4
2020-05-01,L01,3,8,75,7,0
2020-06-01,L01,3,76,0,6,0
2020-07-01,L01,3,70,0,8,0
2020-08-01,L01,3,62,0,8,0
2020-09-01,L01,3,54,0,3,0
2020-10-01,L01,3,51,0,4,0
2020-11-01,L01,3,47,0,1,0
2020-12-01,L01,3,46,0,5,0
2021-01-01,L01,3,41,0,4,0
2021-02-01,L01,3,37,0,1,-3
2021-03-01,L01,3,33,0,10,0
2021-04-01,L01,3,23,0,9,0
2021-05-01,L01,3,14,69,9,0
2021-06-01,L01,3,74,0,5,0
2021-07-01,L01,3,69,0,8,-1
2021-08-01,L01,3,60,0,3,0
2021-09-01,L01,3,57,0,2,0
2021-10-01,L01,3,55,0,1,0
2021-11-01,L01,3,54,0,1,0
2021-12-01,L01,3,53,0,5,0
2022-01-01,L01,3,48,0,2,-3
2022-02-01,L01,3,43,0,5,0
2022-03-01,L01,3,38,0,10,0
2022-04-01,L01,3,28,0,4,0
2022-05-01,L01,3,24,0,6,0
2022-06-01,L01,3,18,0,5,0
2022-07-01,L01,3,13,70,6,0
2022-08-01,L01,3,77,0,13,0
2022-09-01,L01,3,64,0,7,2
2022-10-01,L01,3,59,0,2,-5
2022-11-01,L01,3,52,0,5,0
2022-12-01,L01,3,47,0,4,0
2023-01-01,L01,3,43,0,1,0
2023-02-01,L01,3,42,0,0,0
2023-03-01,L01,3,42,0,1,0
2023-04-01,L01,3,41,0,2,0
2023-05-01,L01,3,39,0,0,0
2023-06-01,L01,3,39,0,1,-1
2023-07-01,L01,3,37,0,1,0
2023-08-01,L01,3,36,0,1,0
2023-09-01,L01,3,35,0,0,0
2023-10-01,L01,3,35,0,2,0
2023-11-01,L01,3,33,0,2,-5
2023-12-01,L01,3,26,0,1,0
2024-01-01,L01,3,25,0,1,0
2024-02-01,L01,3,24,0,3,0
2024-03-01,L01,3,21,0,3,0
2024-04-01,L01,3,18,0,1,0
2024-05-01,L01,3,17,0,2,0
2024-06-01,L01,3,15,68,0,0
2024-07-01,L01,3,83,0,1,0
2024-08-01,L01,3,82,0,5,0
2024-09-01,L01,3,77,0,0,0
2024-10-01,L01,3,77,0,1,0
2024-11-01,L01,3,76,0,0,0
2024-12-01,L01,3,76,0,2,0
2025-01-01,L01,3,74,0,0,0
2025-02-01,L01,3,74,0,1,0
2025-03-01,L01,3,73,0,1,0
2025-04-01,L01,3,72,0,0,0
2025-05-01,L01,3,72,0,1,-3
2025-06-01,L01,3,68,0,1,0
2025-07-01,L01,3,67,0,0,0
2025-08-01,L01,3,67,0,1,0
2025-09-01,L01,3,66,0,1,0
2025-10-01,L01,3,65,0,0,0
2025-11-01,L01,3,65,0,2,0
2025-12-01,L01,3,63,0,1,0
2017-01-01,L01,4,54,0,1,0
2017-02-01,L01,4,53,0,5,0
2017-03-01,L01,4,48,0,8,0
2017-04-01,L01,4,40,0,11,0
2017-05-01,L01,4,29,0,4,0
2017-06-01,L01,4,25,0,3,-2
2017-07-01,L01,4,20,0,2,0
2017-08-01,L01,4,18,0,4,0
2017-09-01,L01,4,14,0,1,0
2017-10-01,L01,4,13,0,1,0
2017-11-01,L01,4,12,0,4,0
2017-12-01,L01,4,8,46,1,0
2018-01-01,L01,4,53,0,2,0
2018-02-01,L01,4,51,0,3,-2
2018-03-01,L01,4,46,0,2,0
2018-04-01,L01,4,44,0,3,0
2018-05-01,L01,4,41,0,3,0
2018-06-01,L01,4,38,0,1,0
2018-07-01,L01,4,37,0,2,0
2018-08-01,L01,4,35,0,2,0
2018-09-01,L01,4,33,0,4,0
2018-10-01,L01,4,29,0,2,0
2018-11-01,L01,4,27,0,5,0
2018-12-01,L01,4,22,0,2,0
2019-01-01,L01,4,20,0,2,0
2019-02-01,L01,4,18,0,2,0
2019-03-01,L01,4,16,0,3,0
2019-04-01,L01,4,13,0,4,0
2019-05-01,L01,4,9,45,5,0
2019-06-01,L01,4,49,0,7,0
2019-07-01,L01,4,42,0,4,0
2019-08-01,L01,4,38,0,2,0
2019-09-01,L01,4,36,0,2,0
2019-10-01,L01,4,34,0,6,0
2019-11-01,L01,4,28,0,5,0
2019-12-01,L01,4,23,0,7,0
2020-01-01,L01,4,16,0,4,0
2020-02-01,L01,4,12,0,3,0
2020-03-01,L01,4,9,45,8,0
2020-04-01,L01,4,46,0,8,0
2020-05-01,L01,4,38,0,3,-3
2020-06-01,L01,4,32,0,2,0
2020-07-01,L01,4,30,0,8,0
2020-08-01,L01,4,22,0,6,0
2020-09-01,L01,4,16,0,6,0
2020-10-01,L01,4,10,44,6,0
2020-11-01,L01,4,48,0,3,-5
2020-12-01,L01,4,40,0,2,0
2021-01-01,L01,4,38,0,3,0
2021-02-01,L01,4,35,0,1,0
2021-03-01,L01,4,34,0,6,0
2021-04-01,L01,4,28,0,2,0
2021-05-01,L01,4,26,0,5,0
2021-06-01,L01,4,21,0,3,0
2021-07-01,L01,4,18,0,12,0
2021-08-01,L01,4,6,48,3,0
2021-09-01,L01,4,51,0,3,0
2021-10-01,L01,4,48,0,2,0
2021-11-01,L01,4,46,0,5,0
2021-12-01,L01,4,41,0,0,0
2022-01-01,L01,4,41,0,4,0
2022-02-01,L01,4,37,0,3,0
2022-03-01,L01,4,34,0,7,0
2022-04-01,L01,4,27,0,5,0
2022-05-01,L01,4,22,0,8,-2
2022-06-01,L01,4,12,0,2,0
2022-07-01,L01,4,10,44,4,0
2022-08-01,L01,4,50,0,8,0
2022-09-01,L01,4,42,0,7,0
2022-10-01,L01,4,35,0,5,0
2022-11-01,L01,4,30,0,5,-5
2022-12-01,L01,4,20,0,3,0
2023-01-01,L01,4,17,0,1,0
2023-02-01,L01,4,16,0,1,-5
2023-03-01,L01,4,10,44,3,0
2023-04-01,L01,4,51,0,0,0
2023-05-01,L01,4,51,0,1,0
2023-06-01,L01,4,50,0,1,0
2023-07-01,L01,4,49,0,0,0
2023-08-01,L01,4,49,0,0,0
2023-09-01,L01,4,49,0,1,0
2023-10-01,L01,4,48,0,1,0
2023-11-01,L01,4,47,0,1,0
2023-12-01,L01,4,46,0,2,-2
2024-01-01,L01,4,42,0,0,2
2024-02-01,L01,4,44,0,2,0
2024-03-01,L01,4,42,0,1,0
2024-04-01,L01,4,41,0,3,0
2024-05-01,L01,4,38,0,2,-1
2024-06-01,L01,4,35,0,1,0
2024-07-01,L01,4,34,0,1,0
2024-08-01,L01,4,33,0,2,0
2024-09-01,L01,4,31,0,0,0
2024-10-01,L01,4,31,0,3,0
2024-11-01,L01,4,28,0,1,0
2024-12-01,L01,4,27,0,2,0
2025-01-01,L01,4,25,0,2,0
2025-02-01,L01,4,23,0,3,0
2025-03-01,L01,4,20,0,2,0
2025-04-01,L01,4,18,0,1,0
2025-05-01,L01,4,17,0,2,0
2025-06-01,L01,4,15,0,1,0
2025-07-01,L01,4,14,0,3,0
2025-08-01,L01,4,11,0,1,0
2025-09-01,L01,4,10,44,2,0
2025-10-01,L01,4,52,0,4,0
2025-11-01,L01,4,48,0,2,0
2025-12-01,L01,4,46,0,1,0
2017-01-01,L01,5,45,0,0,0
2017-02-01,L01,5,45,0,8,0
2017-03-01,L01,5,37,0,0,0
2017-04-01,L01,5,37,0,8,-3
2017-05-01,L01,5,26,0,4,0
2017-06-01,L01,5,22,0,4,0
2017-07-01,L01,5,18,0,3,0
2017-08-01,L01,5,15,0,6,0
2017-09-01,L01,5,9,0,2,0
2017-10-01,L01,5,7,38,4,0
2017-11-01,L01,5,41,0,3,1
2017-12-01,L01,5,39,0,3,0
2018-01-01,L01,5,36,0,3,0
2018-02-01,L01,5,33,0,1,0
2018-03-01,L01,5,32,0,6,0
2018-04-01,L01,5,26,0,5,0
2018-05-01,L01,5,21,0,3,0
2018-06-01,L01,5,18,0,10,-4
2018-07-01,L01,5,4,41,5,0
2018-08-01,L01,5,40,0,5,1
2018-09-01,L01,5,36,0,4,0
2018-10-01,L01,5,32,0,2,0
2018-11-01,L01,5,30,0,2,-2
2018-12-01,L01,5,26,0,3,0
2019-01-01,L01,5,23,0,1,-2
2019-02-01,L01,5,20,0,1,0
2019-03-01,L01,5,19,0,10,0
2019-04-01,L01,5,9,0,4,0
2019-05-01,L01,5,5,40,6,-3
2019-06-01,L01,5,36,0,7,0
2019-07-01,L01,5,29,0,7,0
2019-08-01,L01,5,22,0,2,0
2019-09-01,L01,5,20,0,1,-5
2019-10-01,L01,5,14,0,11,0
2019-11-01,L01,5,3,42,0,0
2019-12-01,L01,5,45,0,1,0
2020-01-01,L01,5,44,0,2,0
2020-02-01,L01,5,42,0,3,0
2020-03-01,L01,5,39,0,2,0
2020-04-01,L01,5,37,0,5,0
2020-05-01,L01,5,32,0,7,-1
2020-06-01,L01,5,24,0,1,0
2020-07-01,L01,5,23,0,4,0
2020-08-01,L01,5,19,0,8,0
2020-09-01,L01,5,11,0,6,0
2020-10-01,L01,5,5,40,5,0
2020-11-01,L01,5,40,0,4,0
2020-12-01,L01,5,36,0,2,0
2021-01-01,L01,5,34,0,3,0
2021-02-01,L01,5,31,0,2,0
2021-03-01,L01,5,29,0,1,0
2021-04-01,L01,5,28,0,3,0
2021-05-01,L01,5,25,0,7,0
2021-06-01,L01,5,18,0,7,0
2021-07-01,L01,5,11,0,13,0
2021-08-01,L01,5,0,45,7,0
2021-09-01,L01,5,38,0,7,0
2021-10-01,L01,5,31,0,2,-2
2021-11-01,L01,5,27,0,1,0
2021-12-01,L01,5,26,0,2,0
2022-01-01,L01,5,24,0,3,0
2022-02-01,L01,5,21,0,4,-2
2022-03-01,L01,5,15,0,3,-2
2022-04-01,L01,5,10,0,5,0
2022-05-01,L01,5,5,40,6,0
2022-06-01,L01,5,39,0,8,0
2022-07-01,L01,5,31,0,2,0
2022-08-01,L01,5,29,0,5,0
2022-09-01,L01,5,24,0,3,0
2022-10-01,L01,5,21,0,1,0
2022-11-01,L01,5,20,0,0,-2
2022-12-01,L01,5,18,0,4,0
2023-01-01,L01,5,14,0,2,0
2023-02-01,L01,5,12,0,1,0
2023-03-01,L01,5,11,0,0,0
2023-04-01,L01,5,11,0,0,0
2023-05-01,L01,5,11,0,2,0
2023-06-01,L01,5,9,0,1,-3
2023-07-01,L01,5,5,40,2,-2
2023-08-01,L01,5,41,0,3,-4
2023-09-01,L01,5,34,0,0,-3
2023-10-01,L01,5,31,0,3,0
2023-11-01,L01,5,28,0,1,0
2023-12-01,L01,5,27,0,0,0
2024-01-01,L01,5,27,0,4,0
2024-02-01,L01,5,23,0,3,0
2024-03-01,L01,5,20,0,2,0
2024-04-01,L01,5,18,0,1,0
2024-05-01,L01,5,17,0,4,0
2024-06-01,L01,5,13,0,2,0
2024-07-01,L01,5,11,0,0,0
2024-08-01,L01,5,11,0,1,-1
2024-09-01,L01,5,9,0,1,0
2024-10-01,L01,5,8,37,2,0
2024-11-01,L01,5,43,0,3,1
2024-12-01,L01,5,41,0,0,0
2025-01-01,L01,5,41,0,5,0
2025-02-01,L01,5,36,0,2,0
2025-03-01,L01,5,34,0,2,0
2025-04-01,L01,5,32,0,1,0
2025-05-01,L01,5,31,0,0,0
2025-06-01,L01,5,31,0,1,0
2025-07-01,L01,5,30,0,1,0
2025-08-01,L01,5,29,0,1,0
2025-09-01,L01,5,28,0,2,0
2025-10-01,L01,5,26,0,0,0
2025-11-01,L01,5,26,0,1,0
2025-12-01,L01,5,25,0,1,-2
2017-01-01,L01,6,79,0,2,0
2017-02-01,L01,6,77,0,0,0
2017-03-01,L01,6,77,0,2,0
2017-04-01,L01,6,75,0,4,0
2017-05-01,L01,6,71,0,7,0
2017-06-01,L01,6,64,0,5,0
2017-07-01,L01,6,59,0,4,0
2017-08-01,L01,6,55,0,4,0
2017-09-01,L01,6,51,0,1,-2
2017-10-01,L01,6,48,0,2,0
2017-11-01,L01,6,46,0,2,0
2017-12-01,L01,6,44,0,1,0
2018-01-01,L01,6,43,0,4,0
2018-02-01,L01,6,39,0,4,-3
2018-03-01,L01,6,32,0,7,0
2018-04-01,L01,6,25,0,5,0
2018-05-01,L01,6,20,0,7,0
2018-06-01,L01,6,13,66,8,0
2018-07-01,L01,6,71,0,4,0
2018-08-01,L01,6,67,0,5,0
2018-09-01,L01,6,62,0,4,0
2018-10-01,L01,6,58,0,0,0
2018-11-01,L01,6,58,0,4,0
2018-12-01,L01,6,54,0,2,0
2019-01-01,L01,6,52,0,2,0
2019-02-01,L01,6,50,0,1,0
2019-03-01,L01,6,49,0,3,0
2019-04-01,L01,6,46,0,1,0
2019-05-01,L01,6,45,0,2,0
2019-06-01,L01,6,43,0,6,0
2019-07-01,L01,6,37,0,8,0
2019-08-01,L01,6,29,0,6,-2
2019-09-01,L01,6,21,0,4,0
2019-10-01,L01,6,17,0,6,0
2019-11-01,L01,6,11,68,2,0
2019-12-01,L01,6,77,0,1,-1
2020-01-01,L01,6,75,0,2,0
2020-02-01,L01,6,73,0,2,0
2020-03-01,L01,6,71,0,3,-2
2020-04-01,L01,6,66,0,6,0
2020-05-01,L01,6,60,0,5,-2
2020-06-01,L01,6,53,0,2,-4
2020-07-01,L01,6,47,0,4,0
2020-08-01,L01,6,43,0,8,0
2020-09-01,L01,6,35,0,2,0
2020-10-01,L01,6,33,0,14,0
2020-11-01,L01,6,19,0,3,-2
2020-12-01,L01,6,14,65,1,0
2021-01-01,L01,6,78,0,1,-4
2021-02-01,L01,6,73,0,3,-3
2021-03-01,L01,6,67,0,6,0
2021-04-01,L01,6,61,0,2,0
2021-05-01,L01,6,59,0,4,0
2021-06-01,L01,6,55,0,6,0
2021-07-01,L01,6,49,0,2,0
2021-08-01,L01,6,47,0,4,0
2021-09-01,L01,6,43,0,6,0
2021-10-01,L01,6,37,0,1,0
2021-11-01,L01,6,36,0,4,-3
2021-12-01,L01,6,29,0,2,0
2022-01-01,L01,6,27,0,4,-3
2022-02-01,L01,6,20,0,4,0
2022-03-01,L01,6,16,0,9,0
2022-04-01,L01,6,7,72,5,0
2022-05-01,L01,6,74,0,5,0
2022-06-01,L01,6,69,0,2,0
2022-07-01,L01,6,67,0,6,0
2022-08-01,L01,6,61,0,7,0
2022-09-01,L01,6,54,0,7,0
2022-10-01,L01,6,47,0,3,0
2022-11-01,L01,6,44,0,3,0
2022-12-01,L01,6,41,0,5,-5
2023-01-01,L01,6,31,0,0,0
2023-02-01,L01,6,31,0,1,0
2023-03-01,L01,6,30,0,1,0
2023-04-01,L01,6,29,0,1,0
2023-05-01,L01,6,28,0,0,0
2023-06-01,L01,6,28,0,6,0
2023-07-01,L01,6,22,0,1,0
2023-08-01,L01,6,21,0,1,0
2023-09-01,L01,6,20,0,1,1
2023-10-01,L01,6,20,0,2,0
2023-11-01,L01,6,18,0,1,0
2023-12-01,L01,6,17,0,2,0
2024-01-01,L01,6,15,64,0,0
2024-02-01,L01,6,79,0,2,0
2024-03-01,L01,6,77,0,3,0
2024-04-01,L01,6,74,0,2,0
2024-05-01,L01,6,72,0,1,0
2024-06-01,L01,6,71,0,1,0
2024-07-01,L01,6,70,0,1,0
2024-08-01,L01,6,69,0,1,0
2024-09-01,L01,6,68,0,1,0
2024-10-01,L01,6,67,0,1,0
2024-11-01,L01,6,66,0,2,0
2024-12-01,L01,6,64,0,2,2
2025-01-01,L01,6,64,0,3,-2
2025-02-01,L01,6,59,0,0,0
2025-03-01,L01,6,59,0,0,0
2025-04-01,L01,6,59,0,1,0
2025-05-01,L01,6,58,0,2,0
2025-06-01,L01,6,56,0,3,-3
2025-07-01,L01,6,50,0,1,-2
2025-08-01,L01,6,47,0,0,0
2025-09-01,L01,6,47,0,0,0
2025-10-01,L01,6,47,0,1,0
2025-11-01,L01,6,46,0,1,-4
2025-12-01,L01,6,41,0,0,0
2017-01-01,L01,7,53,0,2,0
2017-02-01,L01,7,51,0,0,0
2017-03-01,L01,7,51,0,4,0
2017-04-01,L01,7,47,0,5,0
2017-05-01,L01,7,42,0,8,0
2017-06-01,L01,7,34,0,3,0
2017-07-01,L01,7,31,0,12,0
2017-08-01,L01,7,19,0,3,0
2017-09-01,L01,7,16,0,4,0
2017-10-01,L01,7,12,0,3,0
2017-11-01,L01,7,9,44,2,0
2017-12-01,L01,7,51,0,2,0
2018-01-01,L01,7,49,0,2,-3
2018-02-01,L01,7,44,0,4,0
2018-03-01,L01,7,40,0,2,0
2018-04-01,L01,7,38,0,8,0
2018-05-01,L01,7,30,0,6,0
2018-06-01,L01,7,24,0,4,-1
2018-07-01,L01,7,19,0,5,0
2018-08-01,L01,7,14,0,9,0
2018-09-01,L01,7,5,48,4,0
2018-10-01,L01,7,49,0,3,0
2018-11-01,L01,7,46,0,1,0
2018-12-01,L01,7,45,0,1,0
2019-01-01,L01,7,44,0,4,0
2019-02-01,L01,7,40,0,0,0
2019-03-01,L01,7,40,0,5,0
2019-04-01,L01,7,35,0,2,0
2019-05-01,L01,7,33,0,7,-3
2019-06-01,L01,7,23,0,2,0
2019-07-01,L01,7,21,0,1,0
2019-08-01,L01,7,20,0,10,-3
2019-09-01,L01,7,7,46,4,0
2019-10-01,L01,7,49,0,3,0
2019-11-01,L01,7,46,0,1,-3
2019-12-01,L01,7,42,0,1,0
2020-01-01,L01,7,41,0,4,0
2020-02-01,L01,7,37,0,2,0
2020-03-01,L01,7,35,0,1,0
2020-04-01,L01,7,34,0,4,-2
2020-05-01,L01,7,28,0,5,0
2020-06-01,L01,7,23,0,4,0
2020-07-01,L01,7,19,0,3,0
